CarData Element;Beschreibung;Technischer Bezeichner;Datentyp;Typischer Wertebereich;Einheit;Streamingfähig
Restzeit der Vorklimatisierung;Verbleibende Laufzeit der Vorklimatisierung in Sekunden.;vehicle.cabin.hvac.preconditioning.status.remainingRunningTime;uint32;0 - 10000000;s;
Schärfungsstatus der Diebstahlwarnanlage;Diebstahlwarnanlage. Schärfungsstatus.;vehicle.vehicle.antiTheftAlarmSystem.alarm.armStatus;string;unarmed, doorsOnly, doorsTiltCabin;;
Sitzheizung Beifahrerseite dritte Sitzreihe;Sitzheizung auf der Beifahrerseite in der dritten Sitzreihe. 0 = aus. +100 = max. Heizung.;vehicle.cabin.seat.row3.passengerSide.heating;uint8;0% bis 100%;percent;
Sitzheizung Beifahrerseite hinten;Sitzheizung auf der Beifahrerseite hinten. 0 = aus. +100 = max. Heizung.;vehicle.cabin.seat.row2.passengerSide.heating;uint8;0% bis 100%;percent;
Sitzheizung Beifahrerseite vorn;Sitzheizung auf der Beifahrerseite vorn. 0 = aus. +100 = max. Heizung.;vehicle.cabin.seat.row1.passengerSide.heating;uint8;0% bis 100%;percent;
Sitzheizung Fahrerseite dritte Sitzreihe;Sitzheizung auf der Fahrerseite in der dritten Sitzreihe. 0 = aus. +100 = max. Heizung.;vehicle.cabin.seat.row3.driverSide.heating;uint8;0% bis 100%;percent;
Sitzheizung Fahrerseite hinten;Sitzheizung auf der Fahrerseite hinten. 0 = aus. +100 = max. Heizung.;vehicle.cabin.seat.row2.driverSide.heating;uint8;0% bis 100%;percent;
Sitzheizung Fahrerseite vorn;Sitzheizung auf der Fahrerseite vorn. 0 = aus. +100 = max. Heizung.;vehicle.cabin.seat.row1.driverSide.heating;uint8;0% bis 100%;percent;
Sitzkühlung Beifahrerseite dritte Sitzreihe;Sitzkühlung auf der Beifahrerseite in der dritten Sitzreihe. 0 = aus. +100 = max. Kühlung.;vehicle.cabin.seat.row3.passengerSide.cooling;uint8;0% bis 100%;percent;
Sitzkühlung Beifahrerseite hinten;Sitzkühlung auf der Beifahrerseite hinten. 0 = aus. +100 = max. Kühlung.;vehicle.cabin.seat.row2.passengerSide.cooling;uint8;0% bis 100%;percent;
Sitzkühlung Beifahrerseite vorn;Sitzkühlung auf der Beifahrerseite vorn. 0 = aus. +100 = max. Kühlung.;vehicle.cabin.seat.row1.passengerSide.cooling;uint8;0% bis 100%;percent;
Sitzkühlung Fahrerseite dritte Sitzreihe;Sitzkühlung auf der Fahrerseite in der dritten Sitzreihe. 0 = aus. +100 = max. Kühlung.;vehicle.cabin.seat.row3.driverSide.cooling;uint8;0% bis 100%;percent;
Sitzkühlung Fahrerseite hinten;Sitzkühlung auf der Fahrerseite hinten. 0 = aus. +100 = max. Kühlung.;vehicle.cabin.seat.row2.driverSide.cooling;uint8;0% bis 100%;percent;
Sitzkühlung Fahrerseite vorn;Sitzkühlung auf der Fahrerseite vorn. 0 = aus. +100 = max. Kühlung.;vehicle.cabin.seat.row1.driverSide.cooling;uint8;0% bis 100%;percent;
Solltemp. für DirectStart;DirectStart-Einstellungen der Solltemperatur für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.targetTemperature;float;0°C bis 50°C;celsius;
Solltemperatur;Standardeinstellungen der Solltemperatur für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.targetTemperature;float;0°C bis 50°C;celsius;
Spiegelheizung aktiv;Aktueller Status der Spiegelheizung.;vehicle.cabin.hvac.preconditioning.status.isExteriorMirrorHeatingActive;boolean;wahr, falsch;;
Standard für Lenkradheizung;Standardeinstellungen der Lenkradheizung für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.steeringWheel.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzheizung Beifahrerseite dritte Sitzreihe;Standardeinstellungen der Sitzheizung auf der Beifahrerseite dritte Sitzreihe für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row3.passengerSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzheizung Beifahrerseite hinten;Standardeinstellungen der Sitzheizung auf der Beifahrerseite hinten für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row2.passengerSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzheizung Beifahrerseite vorn;Standardeinstellungen der Sitzheizung auf der Beifahrerseite vorn für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row1.passengerSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzheizung Fahrerseite dritte Sitzreihe;Standardeinstellungen der Sitzheizung auf der Fahrerseite dritte Sitzreihe für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row3.driverSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzheizung Fahrerseite hinten;Standardeinstellungen der Sitzheizung auf der Fahrerseite hinten für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row2.driverSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzheizung Fahrerseite vorn;Standardeinstellungen der Sitzheizung auf der Fahrerseite vorn für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row1.driverSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzkühlung Beifahrerseite dritte Sitzreihe;Standardeinstellungen der Sitzkühlung/-belüftung auf der Beifahrerseite dritte Sitzreihe für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row3.passengerSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzkühlung Beifahrerseite hinten;Standardeinstellungen der Sitzkühlung/-belüftung auf der Beifahrerseite hinten für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row2.passengerSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzkühlung Beifahrerseite vorn;Standardeinstellungen der Sitzkühlung/-belüftung auf der Beifahrerseite vorn für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row1.passengerSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzkühlung Fahrerseite dritte Sitzreihe;Standardeinstellungen der Sitzkühlung/-belüftung auf der Fahrerseite dritte Sitzreihe für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row3.driverSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzkühlung Fahrerseite hinten;Standardeinstellungen der Sitzkühlung/-belüftung auf der Fahrerseite hinten für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row2.driverSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Standard für Sitzkühlung Fahrerseite vorn;Standardeinstellungen der Sitzkühlung/-belüftung auf der Fahrerseite vorn für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.defaultSettings.seat.row1.driverSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Status der geöffneten Kofferraumtür;Zustand der Kofferraumtür.;vehicle.body.trunk.door.isOpen;boolean;wahr, falsch;;
Status der HVAC-Luftreinigung;Aktueller Status der Luftreinigung.;vehicle.cabin.hvac.statusAirPurification;string;UNFILTERED, PURIFYING_ONGOING, PURIFIED, INVALID;;
Status der Motorhaube;Der Wert gibt an, ob die Motorhaube zum Zeitpunkt der Datenerfassung geschlossen (CLOSED) oder geöffnet (OPEN) war.;vehicle.body.hood.isOpen;boolean;CLOSED, OPEN, INVALID;;
Status der Tür hinten links;Der Wert gibt an, ob die Tür hinten links zum Zeitpunkt der Datenerfassung geschlossen (CLOSED) oder geöffnet (OPEN) war.;vehicle.cabin.door.row2.driver.isOpen;boolean;OPEN, CLOSED, INVALID, UNKNOWN;;
Status der Tür hinten rechts;Der Wert gibt an, ob die Tür hinten rechts zum Zeitpunkt der Datenerfassung geschlossen (CLOSED) oder geöffnet (OPEN) war.;vehicle.cabin.door.row2.passenger.isOpen;boolean;OPEN, CLOSED, INVALID, UNKNOWN;;
Status der Tür vorn links;Der Wert gibt an, ob die linke Tür zum Zeitpunkt der Datenerfassung geschlossen (CLOSED) oder geöffnet (OPEN) war.;vehicle.cabin.door.row1.driver.isOpen;boolean;OPEN, CLOSED, INVALID, UNKNOWN;;
Status der Tür vorn rechts;Der Wert gibt an, ob die rechte Tür zum Zeitpunkt der Datenerfassung geschlossen (CLOSED) oder geöffnet (OPEN) war.;vehicle.cabin.door.row1.passenger.isOpen;boolean;OPEN, CLOSED, INVALID, UNKNOWN;;
Status der Verriegelung des Kofferraums;Gibt an, ob der Kofferraum verriegelt ist oder nicht.;vehicle.body.trunk.isLocked;boolean;wahr, falsch;;
Status des Cabriodachs;Zustand des einziehbaren Cabriodachs. Bei BMW Mini-Fahrzeugen besteht zusätzlich die Möglichkeit, nur das Faltdach zu öffnen. Dieses Signal stellt den Zustand des Mini-Faltdachs dar. Es sollte zusammen mit dem Status des Cabriodachs ausgelesen werden, siehe Vehicle.Cabin.Convertible.RoofStatus.;vehicle.cabin.convertible.roofRetractableStatus;string;None;;
Status des Cabriodachs;Gibt den zum Zeitpunkt der Datenerfassung aktuellen Status des Cabriodachs an, also ob es beispielsweise geschlossen (CLOSED), geöffnet (OPEN) oder – im Notfall – verriegelt ist (EMERGENCYLOCKED). Folgende weitere Statuswerte sind möglich: CLOSEDSECURED = Cabriodach geschlossen, Fahrzeug gesichert OPENSECURED = Cabriodach offen, Fahrzeug gesichert HARDTOPMOUNTED = Hardtop montiert und geschlossen (abnehmbares Hardtop) INTERMEDIATEPOSITION = Cabrioverdeck in Zwischenstellung LOADINGPOSITION = Verdeck befindet sich in einer Position, die das Beladen des Kofferraums erleichtert LOADINGPOSITIONIMMEDIATE = Verdeck befindet sich in einer Position, die das Beladen des Kofferraums erleichtert;vehicle.cabin.convertible.roofStatus;string;CLOSEDSECURED, OPENSECURED;;
Status des Fensters hinten links;Der Wert gibt an, ob das Fenster hinten links zum Zeitpunkt der Datenerfassung geöffnet (OPEN), halb geöffnet (INTERMEDIATE) oder geschlossen (CLOSED) war.;vehicle.cabin.window.row2.driver.status;string;CLOSED, INTERMEDIATE, OPEN, INVALID;;
Status des Fensters hinten rechts;Der Wert gibt an, ob das Fenster hinten rechts zum Zeitpunkt der Datenerfassung geöffnet (OPEN), halb geöffnet (INTERMEDIATE) oder geschlossen (CLOSED) war.;vehicle.cabin.window.row2.passenger.status;string;CLOSED, INTERMEDIATE, OPEN, INVALID;;
Status des Fensters vorn links;Der Wert gibt an, ob das Fenster der linken Tür zum Zeitpunkt der Datenerfassung geöffnet (OPEN), halb geöffnet (INTERMEDIATE) oder geschlossen (CLOSED) war.;vehicle.cabin.window.row1.driver.status;string;CLOSED, INTERMEDIATE, OPEN, INVALID;;
Status des Fensters vorn rechts;Der Wert gibt an, ob das Fenster der rechten Tür zum Zeitpunkt der Datenerfassung geöffnet (OPEN), halb geöffnet (INTERMEDIATE) oder geschlossen (CLOSED) war.;vehicle.cabin.window.row1.passenger.status;string;CLOSED, INTERMEDIATE, OPEN, INVALID;;
Status des Kofferraum Deckel;Der Wert gibt an, ob der Kofferraum Deckel zum Zeitpunkt der Datenerfassung geöffnet (OPEN), halb geöffnet (INTERMEDIATE) oder geschlossen (CLOSED) war.;vehicle.body.trunk.isOpen;boolean;CLOSED, OPEN, INVALID;;
Status des Schiebedachs;Der Wert gibt an, ob das Schiebedach (sofern vorhanden) zum Zeitpunkt der Datenerfassung geöffnet (OPEN), halb geöffnet (INTERMEDIATE) oder geschlossen (CLOSED) war.;vehicle.cabin.sunroof.status;string;CLOSED, INTERMEDIATE, OPEN, INVALID;;
Stellung der Beifahrertür hinten;Öffnungsstellung der Tür hinten auf der Beifahrerseite in Prozent. 0% entspricht vollständig geschlossen, 100% entspricht vollständig geöffnet.;vehicle.cabin.door.row2.passenger.position;uint8;0% bis 100%;percent;
Stellung der Beifahrertür vorn;Öffnungsstellung der Tür vorn auf der Beifahrerseite in Prozent. 0% entspricht vollständig geschlossen, 100% entspricht vollständig geöffnet.;vehicle.cabin.door.row1.passenger.position;uint8;0% bis 100%;percent;
Stellung der Fahrertür hinten;Öffnungsstellung der Tür hinten auf der Fahrerseite in Prozent. 0% entspricht vollständig geschlossen, 100% entspricht vollständig geöffnet.;vehicle.cabin.door.row2.driver.position;uint8;0% bis 100%;percent;
Stellung der Fahrertür vorn;Öffnungsstellung der Tür vorn auf der Fahrerseite in Prozent. 0% entspricht vollständig geschlossen, 100% entspricht vollständig geöffnet.;vehicle.cabin.door.row1.driver.position;uint8;0% bis 100%;percent;
Tankfüllstand in %;Der Wert gibt den Tankinhalt in Prozent zum Zeitpunkt der Datenerfassung an.;vehicle.drivetrain.fuelSystem.level;uint8;0-100 %, INVALID;%;
